a	pref_name
(10963,"SINGLE PROTEIN","Prolyl endopeptidase",10090,"Mus musculus",CHEMBL4935,0)	Prolyl endopeptidase
(10964,"SINGLE PROTEIN","Prolyl endopeptidase",9823,"Sus scrofa",CHEMBL2461,0)	Prolyl endopeptidase
(10965,"SINGLE PROTEIN","Tyrosine 3-hydroxylase",10116,"Rattus norvegicus",CHEMBL2462,0)	Tyrosine 3-hydroxylase
(10967,"SINGLE PROTEIN","Casein kinase I epsilon",9606,"Homo sapiens",CHEMBL4937,0)	Casein kinase I epsilon
(10970,"SINGLE PROTEIN","CaM kinase I alpha",9606,"Homo sapiens",CHEMBL2493,0)	CaM kinase I alpha
(10971,"SINGLE PROTEIN","CaM kinase IV",9606,"Homo sapiens",CHEMBL2494,0)	CaM kinase IV
(10972,"SINGLE PROTEIN","Sodium channel protein type IX alpha subunit",10116,"Rattus norvegicus",CHEMBL3312,0)	Sodium channel protein type IX alpha subunit
(10973,"SINGLE PROTEIN","Protein kinase C beta",10090,"Mus musculus",CHEMBL3042,0)	Protein kinase C beta
(10975,"SINGLE PROTEIN","Thymidine phosphorylase",10090,"Mus musculus",CHEMBL2606,0)	Thymidine phosphorylase
(10977,"SINGLE PROTEIN","Lysosomal alpha-glucosidase",9606,"Homo sapiens",CHEMBL2608,0)	Lysosomal alpha-glucosidase
(10978,"SINGLE PROTEIN","Lysyl oxidase",9606,"Homo sapiens",CHEMBL2249,0)	Lysyl oxidase
(10979,"SINGLE PROTEIN","Vascular endothelial growth factor receptor 1",9606,"Homo sapiens",CHEMBL1868,0)	Vascular endothelial growth factor receptor 1
(10980,"SINGLE PROTEIN","Vascular endothelial growth factor receptor 2",9606,"Homo sapiens",CHEMBL279,0)	Vascular endothelial growth factor receptor 2
(10981,"SINGLE PROTEIN","Neurokinin 2 receptor",10116,"Rattus norvegicus",CHEMBL4554,0)	Neurokinin 2 receptor
(10982,"SINGLE PROTEIN","Neurokinin 3 receptor",9606,"Homo sapiens",CHEMBL4429,0)	Neurokinin 3 receptor
(10983,"SINGLE PROTEIN","Neurokinin 3 receptor",10116,"Rattus norvegicus",CHEMBL3154,0)	Neurokinin 3 receptor
(10984,"SINGLE PROTEIN","NAALADase II",9606,"Homo sapiens",CHEMBL2609,0)	NAALADase II
(10985,"SINGLE PROTEIN","Neuromedin B receptor",9606,"Homo sapiens",CHEMBL3636,0)	Neuromedin B receptor
(10986,"SINGLE PROTEIN","CaM kinase II beta",10116,"Rattus norvegicus",CHEMBL2610,0)	CaM kinase II beta
(10989,"SINGLE PROTEIN","Carbonic anhydrase XIII",10090,"Mus musculus",CHEMBL2186,0)	Carbonic anhydrase XIII
(10991,"SINGLE PROTEIN","Small conductance calcium-activated potassium channel protein 3",10116,"Rattus norvegicus",CHEMBL3780,0)	Small conductance calcium-activated potassium channel protein 3
(10992,"SINGLE PROTEIN","Intermediate conductance calcium-activated potassium channel protein 4",9606,"Homo sapiens",CHEMBL4305,0)	Intermediate conductance calcium-activated potassium channel protein 4
(80049,CELL-LINE,"C3H 10T1/2",10090,"Mus musculus",CHEMBL614531,0)	C3H 10T1/2
(10993,"SINGLE PROTEIN","Creatine kinase M",9606,"Homo sapiens",CHEMBL2656,0)	Creatine kinase M
(10994,"SINGLE PROTEIN","Leukotriene B4 receptor 1",10090,"Mus musculus",CHEMBL2657,0)	Leukotriene B4 receptor 1
(10995,"SINGLE PROTEIN","Aflatoxin B1 aldehyde reductase",10116,"Rattus norvegicus",CHEMBL2697,0)	Aflatoxin B1 aldehyde reductase
(10997,"SINGLE PROTEIN","Dopamine transporter",10090,"Mus musculus",CHEMBL2799,0)	Dopamine transporter
(10999,"SINGLE PROTEIN","Pancreatic alpha-amylase",10116,"Rattus norvegicus",CHEMBL2699,0)	Pancreatic alpha-amylase
(11000,"SINGLE PROTEIN","Purinergic receptor P2Y12",10116,"Rattus norvegicus",CHEMBL2188,0)	Purinergic receptor P2Y12
(11002,"SINGLE PROTEIN","Vitamin K-dependent gamma-carboxylase",10116,"Rattus norvegicus",CHEMBL2744,0)	Vitamin K-dependent gamma-carboxylase
(11003,"SINGLE PROTEIN","Melanocortin receptor 3",9606,"Homo sapiens",CHEMBL4644,0)	Melanocortin receptor 3
(11004,"SINGLE PROTEIN","Melanocortin receptor 3",10090,"Mus musculus",CHEMBL4774,0)	Melanocortin receptor 3
(11005,"SINGLE PROTEIN","Melanocortin receptor 4",10116,"Rattus norvegicus",CHEMBL2700,0)	Melanocortin receptor 4
(11006,"SINGLE PROTEIN","Melanocortin receptor 5",9606,"Homo sapiens",CHEMBL4608,0)	Melanocortin receptor 5
(11007,"SINGLE PROTEIN","Melanocortin receptor 5",10116,"Rattus norvegicus",CHEMBL2701,0)	Melanocortin receptor 5
(11009,"SINGLE PROTEIN","Synaptic vesicular amine transporter",9913,"Bos taurus",CHEMBL4271,0)	Synaptic vesicular amine transporter
(11010,"SINGLE PROTEIN","Mineralocorticoid receptor",10116,"Rattus norvegicus",CHEMBL3507,0)	Mineralocorticoid receptor
(11013,"SINGLE PROTEIN","Peptide N-myristoyltransferase 2",9606,"Homo sapiens",CHEMBL2849,0)	Peptide N-myristoyltransferase 2
(11016,"SINGLE PROTEIN","Carbonic anhydrase VB",9606,"Homo sapiens",CHEMBL3969,0)	Carbonic anhydrase VB
(11017,"SINGLE PROTEIN","Glycogen synthase kinase-3 alpha",9606,"Homo sapiens",CHEMBL2850,0)	Glycogen synthase kinase-3 alpha
(11018,"SINGLE PROTEIN","cGMP-dependent protein kinase 2",9606,"Homo sapiens",CHEMBL2896,0)	cGMP-dependent protein kinase 2
(11019,"SINGLE PROTEIN","cGMP-dependent protein kinase 1 beta",9606,"Homo sapiens",CHEMBL4273,0)	cGMP-dependent protein kinase 1 beta
(11020,"SINGLE PROTEIN","Mevalonate kinase",10116,"Rattus norvegicus",CHEMBL4274,0)	Mevalonate kinase
(11024,"SINGLE PROTEIN","Matrix metalloproteinase 13",9606,"Homo sapiens",CHEMBL280,0)	Matrix metalloproteinase 13
(11027,"SINGLE PROTEIN","S-adenosylmethionine synthetase alpha and beta forms",10116,"Rattus norvegicus",CHEMBL2195,0)	S-adenosylmethionine synthetase alpha and beta forms
(11028,"SINGLE PROTEIN","Aminopeptidase B",10090,"Mus musculus",CHEMBL2836,0)	Aminopeptidase B
(11029,"SINGLE PROTEIN","Uridine-cytidine kinase 1",10090,"Mus musculus",CHEMBL2196,0)	Uridine-cytidine kinase 1
(11031,"SINGLE PROTEIN","P-glycoprotein 1",10090,"Mus musculus",CHEMBL3467,0)	P-glycoprotein 1
(11033,"SINGLE PROTEIN","S-adenosylmethionine synthetase gamma form",10116,"Rattus norvegicus",CHEMBL2838,0)	S-adenosylmethionine synthetase gamma form
(11034,"SINGLE PROTEIN","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase III",10116,"Rattus norvegicus",CHEMBL2198,0)	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase III
(11035,"SINGLE PROTEIN","Carbonic anhydrase IV",9913,"Bos taurus",CHEMBL281,0)	Carbonic anhydrase IV
(11036,"SINGLE PROTEIN","Metabotropic glutamate receptor 2",10116,"Rattus norvegicus",CHEMBL2851,0)	Metabotropic glutamate receptor 2
(11037,"SINGLE PROTEIN","Nitric-oxide synthase, brain",9606,"Homo sapiens",CHEMBL3568,0)	Nitric-oxide synthase, brain
(11038,"SINGLE PROTEIN","Nitric-oxide synthase, brain",10090,"Mus musculus",CHEMBL4719,0)	Nitric-oxide synthase, brain
(11039,"SINGLE PROTEIN","Nitric oxide synthase, inducible",10090,"Mus musculus",CHEMBL3464,0)	Nitric oxide synthase, inducible
(11042,"SINGLE PROTEIN","Carbonic anhydrase VA",9606,"Homo sapiens",CHEMBL4789,0)	Carbonic anhydrase VA
(11043,"SINGLE PROTEIN","Matrix metalloproteinase 15",9606,"Homo sapiens",CHEMBL2963,0)	Matrix metalloproteinase 15
(11044,"SINGLE PROTEIN","Matrix metalloproteinase 16",9606,"Homo sapiens",CHEMBL2200,0)	Matrix metalloproteinase 16
(11045,"SINGLE PROTEIN","Dual specificity phosphatase Cdc25B",10090,"Mus musculus",CHEMBL2723,0)	Dual specificity phosphatase Cdc25B
(11046,"SINGLE PROTEIN","Dual specificity mitogen-activated protein kinase kinase 2",9606,"Homo sapiens",CHEMBL2964,0)	Dual specificity mitogen-activated protein kinase kinase 2
(11047,"SINGLE PROTEIN","Dual specificity mitogen-activated protein kinase kinase 4",9606,"Homo sapiens",CHEMBL2897,0)	Dual specificity mitogen-activated protein kinase kinase 4
(11048,"SINGLE PROTEIN","Dual specificity mitogen-activated protein kinase kinase 4",10090,"Mus musculus",CHEMBL2201,0)	Dual specificity mitogen-activated protein kinase kinase 4
(11049,"SINGLE PROTEIN","Platelet-derived growth factor receptor beta",10116,"Rattus norvegicus",CHEMBL4125,0)	Platelet-derived growth factor receptor beta
(11052,"SINGLE PROTEIN","Voltage-gated potassium channel subunit Kv10.1",9606,"Homo sapiens",CHEMBL3841,0)	Voltage-gated potassium channel subunit Kv10.1
(11053,"SINGLE PROTEIN","Phosphatidylcholine-retinol O-acyltransferase",9606,"Homo sapiens",CHEMBL2202,0)	Phosphatidylcholine-retinol O-acyltransferase
(11054,"SINGLE PROTEIN","Metabotropic glutamate receptor 4",9606,"Homo sapiens",CHEMBL2736,0)	Metabotropic glutamate receptor 4
(11055,"SINGLE PROTEIN","Metabotropic glutamate receptor 6",9606,"Homo sapiens",CHEMBL4573,0)	Metabotropic glutamate receptor 6
(11056,"SINGLE PROTEIN","Metabotropic glutamate receptor 6",10116,"Rattus norvegicus",CHEMBL3842,0)	Metabotropic glutamate receptor 6
(11058,"SINGLE PROTEIN","Metabotropic glutamate receptor 8",10116,"Rattus norvegicus",CHEMBL2718,0)	Metabotropic glutamate receptor 8
(11060,"SINGLE PROTEIN","Carbonic anhydrase VII",9606,"Homo sapiens",CHEMBL2326,0)	Carbonic anhydrase VII
(11061,"SINGLE PROTEIN","Motilin receptor",9606,"Homo sapiens",CHEMBL2203,0)	Motilin receptor
(11063,"SINGLE PROTEIN","Carbonic anhydrase XIV",9606,"Homo sapiens",CHEMBL3510,0)	Carbonic anhydrase XIV
(11064,"SINGLE PROTEIN","Calcitonin receptor",10116,"Rattus norvegicus",CHEMBL2204,0)	Calcitonin receptor
(11065,"SINGLE PROTEIN",Calnexin,9606,"Homo sapiens",CHEMBL2719,0)	Calnexin
(11066,"SINGLE PROTEIN","Calpain small subunit 1",9823,"Sus scrofa",CHEMBL2205,0)	Calpain small subunit 1
(11067,"SINGLE PROTEIN","Calpain 1/2",9031,"Gallus gallus",CHEMBL3147,0)	Calpain 1/2
(11068,"SINGLE PROTEIN","Insulin-like growth factor II receptor",9606,"Homo sapiens",CHEMBL3240,0)	Insulin-like growth factor II receptor
(11071,"SINGLE PROTEIN","Sodium/calcium exchanger 1",9606,"Homo sapiens",CHEMBL4076,0)	Sodium/calcium exchanger 1
(11074,"SINGLE PROTEIN","Peroxisomal carnitine O-octanoyltransferase",9606,"Homo sapiens",CHEMBL2206,0)	Peroxisomal carnitine O-octanoyltransferase
(11076,"SINGLE PROTEIN","Spermidine/spermine N(1)-acetyltransferase 2",10090,"Mus musculus",CHEMBL3794,0)	Spermidine/spermine N(1)-acetyltransferase 2
(11077,"SINGLE PROTEIN","Dopamine D5 receptor",10090,"Mus musculus",CHEMBL2737,0)	Dopamine D5 receptor
(11080,"SINGLE PROTEIN","MAP kinase ERK2",10090,"Mus musculus",CHEMBL2207,0)	MAP kinase ERK2
(11081,"SINGLE PROTEIN","MAP kinase p38 delta",9606,"Homo sapiens",CHEMBL2939,0)	MAP kinase p38 delta
(11082,"SINGLE PROTEIN","MAP kinase-activated protein kinase 2",9606,"Homo sapiens",CHEMBL2208,0)	MAP kinase-activated protein kinase 2
(11084,"SINGLE PROTEIN","Melatonin receptor 1A",9606,"Homo sapiens",CHEMBL1945,0)	Melatonin receptor 1A
(11085,"SINGLE PROTEIN","Melatonin receptor 1B",9606,"Homo sapiens",CHEMBL1946,0)	Melatonin receptor 1B
(11086,"SINGLE PROTEIN","Melatonin receptor 1C",9031,"Gallus gallus",CHEMBL3196,0)	Melatonin receptor 1C
(11087,"SINGLE PROTEIN","Constitutive androstane receptor",10090,"Mus musculus",CHEMBL3069,0)	Constitutive androstane receptor
(11088,"SINGLE PROTEIN","Intercellular adhesion molecule-1",9606,"Homo sapiens",CHEMBL3070,0)	Intercellular adhesion molecule-1
(11089,"SINGLE PROTEIN",Caspase-4,9606,"Homo sapiens",CHEMBL2226,0)	Caspase-4
(11090,"SINGLE PROTEIN",Caspase-5,9606,"Homo sapiens",CHEMBL3131,0)	Caspase-5
(11092,"SINGLE PROTEIN","Coagulation factor III",9606,"Homo sapiens",CHEMBL4081,0)	Coagulation factor III
(11094,"SINGLE PROTEIN","Thromboxane-A synthase",10116,"Rattus norvegicus",CHEMBL4028,0)	Thromboxane-A synthase
(11095,"SINGLE PROTEIN","Alpha-galactosidase B",9606,"Homo sapiens",CHEMBL3132,0)	Alpha-galactosidase B
(11096,"SINGLE PROTEIN","Sodium/hydrogen exchanger 1",9606,"Homo sapiens",CHEMBL2781,0)	Sodium/hydrogen exchanger 1
(11097,"SINGLE PROTEIN","Sodium/hydrogen exchanger 1",10116,"Rattus norvegicus",CHEMBL2577,0)	Sodium/hydrogen exchanger 1
(11098,"SINGLE PROTEIN","Sodium/hydrogen exchanger 2",9606,"Homo sapiens",CHEMBL3133,0)	Sodium/hydrogen exchanger 2
(11099,"SINGLE PROTEIN","Proenkephalin B",9606,"Homo sapiens",CHEMBL2227,0)	Proenkephalin B
(11102,"SINGLE PROTEIN",Dihydroorotase,9606,"Homo sapiens",CHEMBL3093,0)	Dihydroorotase
(11104,"SINGLE PROTEIN","Dopamine D1 receptor",10090,"Mus musculus",CHEMBL3071,0)	Dopamine D1 receptor
(11105,"SINGLE PROTEIN","MAP kinase-activated protein kinase 5",9606,"Homo sapiens",CHEMBL3094,0)	MAP kinase-activated protein kinase 5
(11107,"SINGLE PROTEIN","Dipeptidyl peptidase IV",9823,"Sus scrofa",CHEMBL3813,0)	Dipeptidyl peptidase IV
(11108,"SINGLE PROTEIN","Matrix metalloproteinase-2",10090,"Mus musculus",CHEMBL3095,0)	Matrix metalloproteinase-2
(11109,"SINGLE PROTEIN","Matrix metalloproteinase 3",9606,"Homo sapiens",CHEMBL283,0)	Matrix metalloproteinase 3
(11110,"SINGLE PROTEIN","Matrix metalloproteinase 8",9606,"Homo sapiens",CHEMBL4588,0)	Matrix metalloproteinase 8
(11111,"SINGLE PROTEIN",Cyclooxygenase-2,9913,"Bos taurus",CHEMBL3331,0)	Cyclooxygenase-2
(11112,"SINGLE PROTEIN",Cyclooxygenase-2,10090,"Mus musculus",CHEMBL4321,0)	Cyclooxygenase-2
(11113,"SINGLE PROTEIN","Cytochrome P450 1A1",9606,"Homo sapiens",CHEMBL2231,0)	Cytochrome P450 1A1
(11114,"SINGLE PROTEIN","Glutamate receptor ionotropic, AMPA 1",9606,"Homo sapiens",CHEMBL2009,0)	Glutamate receptor ionotropic, AMPA 1
(11115,"SINGLE PROTEIN","Creatine transporter",10116,"Rattus norvegicus",CHEMBL3814,0)	Creatine transporter
(11117,"SINGLE PROTEIN","Glycine transporter 1",10116,"Rattus norvegicus",CHEMBL4556,0)	Glycine transporter 1
(11118,"SINGLE PROTEIN","GABA transporter 3",9606,"Homo sapiens",CHEMBL5208,0)	GABA transporter 3
(11119,"SINGLE PROTEIN","Dipeptidyl peptidase IV",10116,"Rattus norvegicus",CHEMBL4653,0)	Dipeptidyl peptidase IV
(11120,"SINGLE PROTEIN","Squalene synthetase",9606,"Homo sapiens",CHEMBL3338,0)	Squalene synthetase
(11123,"SINGLE PROTEIN","Phosphoenolpyruvate carboxykinase mitochondrial",9606,"Homo sapiens",CHEMBL3096,0)	Phosphoenolpyruvate carboxykinase mitochondrial
(11125,"SINGLE PROTEIN","Voltage-gated potassium channel subunit Kv7.4",9606,"Homo sapiens",CHEMBL3576,0)	Voltage-gated potassium channel subunit Kv7.4
(11126,"SINGLE PROTEIN","Subtilisin/kexin type 7",9606,"Homo sapiens",CHEMBL2232,0)	Subtilisin/kexin type 7
(11130,"SINGLE PROTEIN","Aldehyde dehydrogenase 1A1",9606,"Homo sapiens",CHEMBL3577,0)	Aldehyde dehydrogenase 1A1
(11131,"SINGLE PROTEIN","Aldehyde dehydrogenase dimeric NADP-preferring",9606,"Homo sapiens",CHEMBL3578,0)	Aldehyde dehydrogenase dimeric NADP-preferring
(11132,"SINGLE PROTEIN","Aldehyde dehydrogenase 1A3",9606,"Homo sapiens",CHEMBL3579,0)	Aldehyde dehydrogenase 1A3
(11134,"SINGLE PROTEIN","Arachidonate 12-lipoxygenase",9606,"Homo sapiens",CHEMBL3687,0)	Arachidonate 12-lipoxygenase
(11136,"SINGLE PROTEIN","DNA polymerase alpha subunit",10090,"Mus musculus",CHEMBL2797,0)	DNA polymerase alpha subunit
(11138,"SINGLE PROTEIN","Human herpesvirus 5 DNA polymerase",10360,"Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)",CHEMBL3414,0)	Human herpesvirus 5 DNA polymerase
(11140,"SINGLE PROTEIN","Dipeptidyl peptidase IV",9606,"Homo sapiens",CHEMBL284,0)	Dipeptidyl peptidase IV
(11141,"SINGLE PROTEIN","Glucagon receptor",10090,"Mus musculus",CHEMBL4773,0)	Glucagon receptor
(11142,"SINGLE PROTEIN","Glucagon receptor",10116,"Rattus norvegicus",CHEMBL4720,0)	Glucagon receptor
(11143,"SINGLE PROTEIN","1,3-beta-glucan synthase component GLS2",559292,"Saccharomyces cerevisiae S288c",CHEMBL3134,0)	1,3-beta-glucan synthase component GLS2
(11144,"SINGLE PROTEIN","Serum amyloid P-component",9606,"Homo sapiens",CHEMBL4929,0)	Serum amyloid P-component
(11145,"SINGLE PROTEIN","Granzyme A",9606,"Homo sapiens",CHEMBL4307,0)	Granzyme A
(11146,"SINGLE PROTEIN","Granzyme K",9606,"Homo sapiens",CHEMBL4930,0)	Granzyme K
(11147,"SINGLE PROTEIN","Granzyme K",10116,"Rattus norvegicus",CHEMBL4557,0)	Granzyme K
(11149,"SINGLE PROTEIN","Rho-associated protein kinase 2",9606,"Homo sapiens",CHEMBL2973,0)	Rho-associated protein kinase 2
(11150,"SINGLE PROTEIN","Death-associated protein kinase 1",9606,"Homo sapiens",CHEMBL2558,0)	Death-associated protein kinase 1
(11152,"SINGLE PROTEIN","Folylpoly-gamma-glutamate synthetase",9606,"Homo sapiens",CHEMBL3171,0)	Folylpoly-gamma-glutamate synthetase
(11153,"SINGLE PROTEIN","Voltage-gated potassium channel subunit Kv4.3",9606,"Homo sapiens",CHEMBL1964,0)	Voltage-gated potassium channel subunit Kv4.3
(11154,"SINGLE PROTEIN","Matrix metalloproteinase 14",9606,"Homo sapiens",CHEMBL3869,0)	Matrix metalloproteinase 14
(11156,"SINGLE PROTEIN","Bradykinin B1 receptor",9606,"Homo sapiens",CHEMBL4308,0)	Bradykinin B1 receptor
(11158,"SINGLE PROTEIN","Voltage-gated L-type calcium channel alpha-1D subunit",9606,"Homo sapiens",CHEMBL4138,0)	Voltage-gated L-type calcium channel alpha-1D subunit
(11159,"SINGLE PROTEIN","Dihydropyrimidine dehydrogenase",9606,"Homo sapiens",CHEMBL3172,0)	Dihydropyrimidine dehydrogenase
(11160,"SINGLE PROTEIN","Dual specificity protein phosphatase 3",9606,"Homo sapiens",CHEMBL2635,0)	Dual specificity protein phosphatase 3
(11162,"SINGLE PROTEIN","Protein farnesyltransferase/geranylgeranyltransferase type I alpha subunit",559292,"Saccharomyces cerevisiae S288c",CHEMBL2406,0)	Protein farnesyltransferase/geranylgeranyltransferase type I alpha subunit
(11163,"SINGLE PROTEIN",Dynamin-1,9606,"Homo sapiens",CHEMBL4958,0)	Dynamin-1
(11165,"SINGLE PROTEIN","3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",9606,"Homo sapiens",CHEMBL4931,0)	3-beta-hydroxysteroid-delta(8),delta(7)-isomerase
(11168,"SINGLE PROTEIN","Gastrin releasing peptide receptor",9606,"Homo sapiens",CHEMBL4959,0)	Gastrin releasing peptide receptor
(11169,"SINGLE PROTEIN","Gastrin releasing peptide receptor",10090,"Mus musculus",CHEMBL3596,0)	Gastrin releasing peptide receptor
(11170,"SINGLE PROTEIN","Testis-specific androgen-binding protein",10116,"Rattus norvegicus",CHEMBL4932,0)	Testis-specific androgen-binding protein
(11171,"SINGLE PROTEIN","Glutathione S-transferase A4",9606,"Homo sapiens",CHEMBL4933,0)	Glutathione S-transferase A4
(11172,"SINGLE PROTEIN","Glutathione transferase omega 1",9606,"Homo sapiens",CHEMBL3174,0)	Glutathione transferase omega 1
(11173,"SINGLE PROTEIN","Glucose transporter",9606,"Homo sapiens",CHEMBL2535,0)	Glucose transporter
(11174,"SINGLE PROTEIN","Guanine deaminase",9606,"Homo sapiens",CHEMBL3129,0)	Guanine deaminase
(11176,"SINGLE PROTEIN","Phosphodiesterase 1C",9606,"Homo sapiens",CHEMBL4619,0)	Phosphodiesterase 1C
(11177,"SINGLE PROTEIN","PI3-kinase p110-delta subunit",9606,"Homo sapiens",CHEMBL3130,0)	PI3-kinase p110-delta subunit
(11179,"SINGLE PROTEIN","Phospholipase A2 group 1VB",9606,"Homo sapiens",CHEMBL4136,0)	Phospholipase A2 group 1VB
(80264,CELL-LINE,MH60,10090,"Mus musculus",CHEMBL614350,0)	MH60
(11180,"SINGLE PROTEIN","Bile acid receptor FXR",9606,"Homo sapiens",CHEMBL2047,0)	Bile acid receptor FXR
(11181,"SINGLE PROTEIN","Fibrinogen beta chain",9606,"Homo sapiens",CHEMBL2048,0)	Fibrinogen beta chain
(11184,"SINGLE PROTEIN","Neuronal acetylcholine receptor subunit alpha-3",9606,"Homo sapiens",CHEMBL3068,0)	Neuronal acetylcholine receptor subunit alpha-3
(11185,"SINGLE PROTEIN","Carnitine acetylase",9606,"Homo sapiens",CHEMBL3184,0)	Carnitine acetylase
(11186,"SINGLE PROTEIN","Cytochrome P450 2C18",9606,"Homo sapiens",CHEMBL2408,0)	Cytochrome P450 2C18
(11187,"SINGLE PROTEIN","Cytochrome P450 4A11",9606,"Homo sapiens",CHEMBL3978,0)	Cytochrome P450 4A11
(11188,"SINGLE PROTEIN","Cytochrome P450 51",9606,"Homo sapiens",CHEMBL3849,0)	Cytochrome P450 51
(11189,"SINGLE PROTEIN","Dopamine beta-hydroxylase",9606,"Homo sapiens",CHEMBL3102,0)	Dopamine beta-hydroxylase
(11191,"SINGLE PROTEIN","GABA receptor alpha-4 subunit",9606,"Homo sapiens",CHEMBL2472,0)	GABA receptor alpha-4 subunit
(11192,"SINGLE PROTEIN","Endothelin-converting enzyme 1",9606,"Homo sapiens",CHEMBL4791,0)	Endothelin-converting enzyme 1
(11196,"SINGLE PROTEIN","Spermine synthase",9606,"Homo sapiens",CHEMBL4934,0)	Spermine synthase
(11199,"SINGLE PROTEIN","Elastase 2A",9823,"Sus scrofa",CHEMBL2407,0)	Elastase 2A
(11200,"SINGLE PROTEIN","Elastase 2A",10116,"Rattus norvegicus",CHEMBL3888,0)	Elastase 2A
(11201,"SINGLE PROTEIN","Muscle glycogen synthase",9606,"Homo sapiens",CHEMBL4000,0)	Muscle glycogen synthase
(11202,"SINGLE PROTEIN","Acyl coenzyme A:cholesterol acyltransferase 1",10090,"Mus musculus",CHEMBL4464,0)	Acyl coenzyme A:cholesterol acyltransferase 1
(11203,"SINGLE PROTEIN","Acyl coenzyme A:cholesterol acyltransferase 1",10116,"Rattus norvegicus",CHEMBL285,0)	Acyl coenzyme A:cholesterol acyltransferase 1
(11204,"SINGLE PROTEIN","Acyl coenzyme A:cholesterol acyltransferase 2",9606,"Homo sapiens",CHEMBL4465,0)	Acyl coenzyme A:cholesterol acyltransferase 2
(11205,"SINGLE PROTEIN","Histone deacetylase 1",10090,"Mus musculus",CHEMBL4001,0)	Histone deacetylase 1
(11206,"SINGLE PROTEIN","Histone deacetylase 2",9606,"Homo sapiens",CHEMBL1937,0)	Histone deacetylase 2
(11208,"SINGLE PROTEIN","Histone deacetylase 3",9606,"Homo sapiens",CHEMBL1829,0)	Histone deacetylase 3
(11209,"SINGLE PROTEIN","Tyrosine-protein kinase ABL2",9606,"Homo sapiens",CHEMBL4014,0)	Tyrosine-protein kinase ABL2
(11212,"SINGLE PROTEIN","Oligosaccharyl transferase 48 kDa subunit",9606,"Homo sapiens",CHEMBL4239,0)	Oligosaccharyl transferase 48 kDa subunit
(11213,"SINGLE PROTEIN","Heat shock protein HSP 90-alpha",9606,"Homo sapiens",CHEMBL3880,0)	Heat shock protein HSP 90-alpha
(11214,"SINGLE PROTEIN","Hormone sensitive lipase",9606,"Homo sapiens",CHEMBL3590,0)	Hormone sensitive lipase
(11215,"SINGLE PROTEIN","Protein-beta-aspartate methyltransferase",9606,"Homo sapiens",CHEMBL4240,0)	Protein-beta-aspartate methyltransferase
(11217,"SINGLE PROTEIN","GABA receptor beta-1 subunit",9606,"Homo sapiens",CHEMBL4558,0)	GABA receptor beta-1 subunit
(11218,"SINGLE PROTEIN","GABA receptor delta subunit",9606,"Homo sapiens",CHEMBL3591,0)	GABA receptor delta subunit
